Angle: 2
Shower Num: 1
Angle: 110
Track Num: 0
Shower Num: 3
Angle: 110
Track Num: 1
Shower Num: 1
Angle: 110
Track Num: 1
Shower Num: 1
Angle: 120
Track Num: 0
Shower Num: 1
Angle: 120
Track Num: 1
Shower Num: 2
Angle: 120
Track Num: 0
Shower Num: 3
Angle: 120
Track Num: 2
Shower Num: 1
Angle: 120
Track Num: 0
Shower Num: 0
Angle: 120
Track Num: 5
Shower Num: 3
Angle: 120
Track Num: 0
Shower Num: 1
Angle: 120
Track Num: 1
Shower Num: 1
Angle: 120
Track Num: 0
Shower Num: 1
Angle: 120
Track Num: 1
Shower Num: 1
Angle: 120
Track Num: 4
Shower Num: 1
Angle: 120
Track Num: 1
Shower Num: 0
Angle: 120
Track Num: 0
Shower Num: 0
Angle: 120
Track Num: 0
Shower Num: 1
Angle: 120
Track Num: 0
Shower Num: 2
Angle: 120
Track Num: 0
Shower Num: 1
Angle: 120
Track Num: 0
Shower Num: 1
Angle: 120
Track Num: 1
Shower Num: 2
Angle: 120
Track Num: 1
Shower Num: 2
Angle: 120
Track Num: 3
Shower Num: 2
Angle: 120
Track Num: 0
Shower Num: 1
Angle: 120
Track Num: 2
Shower Num: 1
Angle: 120
Track Num: 0
Shower Num: 1
Angle: 120
Track Num: 0
Shower Num: 2
Angle: 120
Track Num: 2
Shower Num: 1
Angle: 120
Track Num: 1
Shower Num: 1
Angle: 120
Track Num: 1
Shower Num: 5
Angle: 120
Track Num: 0
Shower Num: 1
Angle: 120
Track Num: 3
Shower Num: 3
Angle: 120
Track Num: 0
Shower Num: 1
Angle: 120
Track Num: 1
Shower Num: 2
Angle: 120
Track Num: 1
Shower Num: 1
Angle: 120
Track Num: 2
Shower Num: 1
Angle: 120
Track Num: 1
Shower Num: 0
Angle: 120
Track Num: 0
Shower Num: 3
Angle: 120
Track Num: 1
Shower Num: 0
Angle: 120
Track Num: 1
Shower Num: 1
Angle: 120
Track Num: 0
Shower Num: 1
Angle: 120
Track Num: 0
Shower Num: 5
Angle: 120
Track Num: 1
Shower Num: 0
Angle: 120
Track Num: 0
Shower Num: 1
Angle: 120
Track Num: 0
Shower Num: 2
Angle: 120
Track Num: 0
Shower Num: 1
Angle: 120
Track Num: 4
Shower Num: 1
Angle: 120
Track Num: 1
Shower Num: 1
Angle: 120
Track Num: 0
Shower Num: 1
Angle: 120
Track Num: 0
Shower Num: 1
Angle: 120
Track Num: 2
Shower Num: 1
Angle: 120
Track Num: 1
Shower Num: 2
Angle: 120
Track Num: 1
Shower Num: 1
Angle: 130
Angle: 130
Track Num: 0
Shower Num: 1
Angle: 130
Track Num: 2
Shower Num: 1
Angle: 130
Track Num: 0
Shower Num: 2
Angle: 130
Track Num: 0
Shower Num: 1
Angle: 130
Track Num: 1
Shower Num: 1
Angle: 130
Track Num: 1
Shower Num: 1
Angle: 130
Track Num: 3
Shower Num: 1
Angle: 130
Track Num: 1
Shower Num: 1
Angle: 130
Track Num: 1
Shower Num: 3
Angle: 130
Track Num: 2
Shower Num: 1
Angle: 130
Track Num: 2
Shower Num: 2
Angle: 130
Track Num: 3
Shower Num: 1
Angle: 130
Track Num: 0
Shower Num: 1
Angle: 130
Track Num: 2
Shower Num: 0
Angle: 130
Track Num: 0
Shower Num: 1
Angle: 130
Track Num: 7
Shower Num: 1
Angle: 130
Track Num: 1
Shower Num: 0
Angle: 130
Track Num: 1
Shower Num: 1
Angle: 130
Track Num: 0
Shower Num: 1
Angle: 130
Track Num: 1
Shower Num: 1
Angle: 130
Track Num: 0
Shower Num: 1
Angle: 130
Track Num: 0
Shower Num: 1
Angle: 130
Track Num: 0
Shower Num: 1
Angle: 130
Track Num: 1
Shower Num: 2
Angle: 130
Track Num: 1
Shower Num: 1
Angle: 130
Track Num: 0
Shower Num: 1
Angle: 130
Track Num: 0
Shower Num: 1
Angle: 130
Track Num: 0
Shower Num: 1
Angle: 130
Track Num: 0
Shower Num: 1
Angle: 130
Track Num: 2
Shower Num: 1
Angle: 130
Track Num: 2
Shower Num: 1
Angle: 130
Track Num: 2
Shower Num: 2
Angle: 130
Track Num: 0
Shower Num: 1
Angle: 130
Track Num: 0
Shower Num: 1
Angle: 130
Track Num: 0
Shower Num: 1
Angle: 130
Track Num: 2
Shower Num: 2
Angle: 130
Track Num: 0
Shower Num: 2
Angle: 130
Track Num: 2
Shower Num: 1
Angle: 130
Track Num: 0
Shower Num: 1
Angle: 130
Track Num: 0
Shower Num: 2
Angle: 130
Track Num: 0
Shower Num: 1
Angle: 130
Track Num: 0
Shower Num: 1
Angle: 130
Track Num: 1
Shower Num: 2
Angle: 130
Track Num: 2
Shower Num: 2
Angle: 130
Track Num: 0
Shower Num: 1
Angle: 130
Track Num: 1
Shower Num: 1
Angle: 130
Track Num: 1
Shower Num: 1
Angle: 130
Track Num: 1
Shower Num: 0
Angle: 130
Track Num: 0
Shower Num: 1
Angle: 130
Track Num: 1
Shower Num: 2
Angle: 140
Track Num: 0
Shower Num: 2
Angle: 140
Track Num: 0
Shower Num: 1
Angle: 140
Track Num: 2
Shower Num: 1
Angle: 140
Track Num: 0
Shower Num: 2
Angle: 140
Track Num: 2
Shower Num: 1
Angle: 140
Track Num: 1
Shower Num: 1
Angle: 140
Track Num: 0
Shower Num: 1
Angle: 140
Track Num: 0
Shower Num: 1
Angle: 140
Track Num: 0
Shower Num: 1
Angle: 140
Track Num: 0
Shower Num: 1
Angle: 140
Track Num: 0
Shower Num: 1
Angle: 140
Track Num: 0
Shower Num: 3
Angle: 140
Track Num: 1
Shower Num: 2
Angle: 140
Track Num: 1
Shower Num: 1
Angle: 140
Track Num: 1
Shower Num: 1
Angle: 140
Track Num: 1
Shower Num: 1
Angle: 140
Track Num: 2
Shower Num: 3
Angle: 140
Track Num: 0
Shower Num: 1
Angle: 140
Track Num: 1
Shower Num: 1
Angle: 140
Track Num: 3
Shower Num: 1
Angle: 140
Track Num: 0
Shower Num: 3
Angle: 140
Track Num: 0
Shower Num: 1
Angle: 140
Track Num: 0
Shower Num: 1
Angle: 140
Track Num: 2
Shower Num: 2
Angle: 140
Track Num: 1
Shower Num: 1
Angle: 140
Track Num: 2
Shower Num: 1
Angle: 140
Track Num: 3
Shower Num: 1
Angle: 140
Track Num: 2
Shower Num: 3
Angle: 140
Track Num: 0
Shower Num: 2
Angle: 140
Track Num: 0
Shower Num: 1
Angle: 140
Track Num: 0
Shower Num: 1
Angle: 140
Track Num: 0
Shower Num: 1
Angle: 140
Track Num: 0
Shower Num: 1
Angle: 140
Track Num: 1
Shower Num: 0
Angle: 140
Track Num: 0
Shower Num: 2
Angle: 140
Track Num: 0
Shower Num: 1
Angle: 140
Track Num: 0
Shower Num: 1
Angle: 140
Track Num: 0
Shower Num: 1
Angle: 140
Track Num: 0
Shower Num: 1
Angle: 140
Track Num: 0
Shower Num: 1
Angle: 140
Track Num: 0
Shower Num: 6
Angle: 140
Track Num: 0
Shower Num: 1
Angle: 140
Track Num: 0
Shower Num: 1
Angle: 140
Track Num: 1
Shower Num: 1
Angle: 140
Track Num: 1
Shower Num: 2
Angle: 140
Track Num: 1
Shower Num: 1
Angle: 140
Track Num: 1
Shower Num: 0
Angle: 140
Track Num: 1
Shower Num: 0
Angle: 140
Track Num: 0
Shower Num: 1
Angle: 140
Track Num: 0
Shower Num: 1
Angle: 150
Track Num: 1
Shower Num: 2
Angle: 150
Track Num: 2
Shower Num: 1
Angle: 150
Track Num: 0
Shower Num: 1
Angle: 150
Track Num: 0
Shower Num: 2
Angle: 150
Track Num: 1
Shower Num: 1
Angle: 150
Track Num: 0
Shower Num: 1
Angle: 150
Track Num: 0
Shower Num: 1
Angle: 150
Track Num: 1
Shower Num: 1
Angle: 150
Track Num: 1
Shower Num: 0
Angle: 150
Track Num: 0
Shower Num: 1
Angle: 150
Track Num: 0
Shower Num: 1
Angle: 150
Track Num: 0
Shower Num: 1
Angle: 150
Track Num: 2
Shower Num: 1
Angle: 150
Track Num: 2
Shower Num: 1
Angle: 150
Track Num: 0
Shower Num: 1
Angle: 150
Track Num: 1
Shower Num: 1
Angle: 150
Track Num: 1
Shower Num: 1
Angle: 150
Track Num: 1
Shower Num: 3
Angle: 150
Track Num: 0
Shower Num: 1
Angle: 150
Track Num: 4
Shower Num: 0
Angle: 150
Track Num: 0
Shower Num: 1
Angle: 150
Track Num: 0
Shower Num: 1
Angle: 150
Track Num: 0
Shower Num: 1
Angle: 150
Track Num: 0
Shower Num: 1
Angle: 150
Track Num: 0
Shower Num: 1
Angle: 150
Track Num: 0
Shower Num: 1
Angle: 150
Track Num: 0
Shower Num: 1
Angle: 150
Track Num: 0
Shower Num: 3
Angle: 150
Track Num: 2
Shower Num: 2
Angle: 150
Track Num: 1
Shower Num: 1
Angle: 150
Track Num: 1
Shower Num: 2
Angle: 150
Track Num: 2
Shower Num: 0
Angle: 150
Track Num: 0
Shower Num: 1
Angle: 150
Track Num: 2
Shower Num: 1
Angle: 150
Track Num: 1
Shower Num: 2
Angle: 150
Track Num: 0
Shower Num: 2
Angle: 150
Track Num: 0
Shower Num: 2
Angle: 150
Track Num: 0
Shower Num: 0
Angle: 150
Track Num: 0
Shower Num: 2
Angle: 150
Track Num: 0
Shower Num: 2
Angle: 150
Track Num: 1
Shower Num: 3
Angle: 150
Track Num: 0
Shower Num: 1
Angle: 150
Track Num: 1
Shower Num: 1
Angle: 150
Track Num: 0
Shower Num: 3
Angle: 150
Track Num: 2
Shower Num: 0
Angle: 150
Track Num: 2
Shower Num: 2
Angle: 150
Track Num: 0
Shower Num: 1
Angle: 150
Track Num: 0
Shower Num: 1
Angle: 150
Track Num: 0
Shower Num: 1
Angle: 150
Track Num: 1
Shower Num: 0
